日期,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2018/5/29,114,轻度污染,0,0,18,0.8,61,154
2018/5/30,88,良,62,126,13,0.8,59,125
2018/5/31,90,良,34,60,11,0.6,34,148
2018/6/1,62,良,44,66,8,0.7,38,112
2018/6/2,75,良,54,78,9,1,47,98
2018/6/3,89,良,54,95,10,1.2,71,62
2018/6/4,101,轻度污染,18,31,8,0.7,47,161
2018/6/5,121,轻度污染,29,54,11,0.9,51,183
2018/6/6,166,中度污染,41,66,12,1,52,231
2018/6/7,140,轻度污染,51,80,11,1,44,204
2018/6/8,70,良,17,27,8,0.5,15,123
2018/6/9,97,良,25,38,11,0.6,30,156
2018/6/10,104,轻度污染,25,39,9,0.5,32,164
2018/6/11,64,良,31,47,8,0.7,51,85
2018/6/12,94,良,29,42,8,0.6,29,152
2018/6/13,67,良,24,37,10,0.6,31,120
2018/6/14,66,良,23,38,14,0.6,37,119
2018/6/15,44,优,20,34,10,0.6,29,88
2018/6/16,71,良,36,55,9,0.6,33,125
2018/6/17,49,优,26,46,10,0.9,39,71
2018/6/18,58,良,12,17,9,0.7,23,109
2018/6/19,76,良,24,47,10,1,54,131
2018/6/20,103,轻度污染,40,74,11,1,57,163
2018/6/21,36,优,19,30,9,0.9,28,72
2018/6/22,105,轻度污染,31,50,10,1,44,165
2018/6/23,62,良,37,61,11,1,49,93
2018/6/24,48,优,22,35,10,1,30,95
2018/6/25,42,优,21,35,9,0.9,30,84
2018/6/26,42,优,14,23,10,0.7,22,83
2018/6/27,63,良,21,31,9,0.9,27,115
2018/6/28,99,良,17,27,9,0.9,39,158
2018/6/29,54,良,34,54,9,1,43,90
2018/6/30,55,良,17,25,9,0.7,27,105
2018/7/1,68,良,20,31,8,1,32,121
2018/7/2,31,优,12,21,10,0.9,23,62
2018/7/3,39,优,7,12,9,0.7,16,78
2018/7/4,42,优,11,19,8,1,33,60
2018/7/5,89,良,16,28,7,1,35,146
2018/7/6,46,优,9,19,7,0.9,21,92
2018/7/7,64,良,19,30,7,0.7,21,116
2018/7/8,43,优,19,26,7,0.7,23,85
2018/7/9,32,优,8,11,7,0.7,18,63
2018/7/10,39,优,18,25,7,0.9,31,50
2018/7/11,50,优,7,10,7,0.6,22,99
2018/7/12,40,优,14,22,7,0.6,33,74
2018/7/13,97,良,28,47,8,1,44,156
2018/7/14,83,良,33,54,9,1,44,139
2018/7/15,46,优,16,26,8,0.7,29,91
2018/7/16,63,良,18,28,8,0.9,38,115
2018/7/17,68,良,20,31,8,0.9,35,121
2018/7/18,89,良,36,57,8,1,38,146
2018/7/19,97,良,39,65,8,1,38,156
2018/7/20,131,轻度污染,37,59,9,0.9,32,194
2018/7/21,171,中度污染,25,47,9,0.9,33,236
2018/7/22,93,良,44,80,10,1,51,151
2018/7/23,70,良,40,73,10,1,55,113
2018/7/24,149,轻度污染,44,70,9,1,52,213
2018/7/25,119,轻度污染,44,69,8,0.9,43,180
2018/7/26,70,良,37,55,8,0.9,41,124
2018/7/27,61,良,20,32,8,0.7,41,113
2018/7/28,78,良,34,50,9,0.9,37,133
2018/7/29,83,良,22,35,9,0.7,31,139
2018/7/30,42,优,18,28,8,0.7,33,65
2018/7/31,85,良,28,45,7,0.9,42,141
2018/8/1,58,良,35,56,8,1,48,58
2018/8/2,35,优,19,29,7,0.7,28,56
2018/8/3,40,优,21,34,7,0.7,32,76
2018/8/4,84,良,29,47,7,1,44,140
2018/8/5,67,良,34,59,7,1,53,118
2018/8/6,154,中度污染,40,68,8,1,48,219
2018/8/7,54,良,28,49,7,0.9,43,92
2018/8/8,55,良,29,50,8,0.9,44,103
2018/8/9,69,良,30,52,8,0.9,44,122
2018/8/10,70,良,18,29,7,0.7,29,124
2018/8/11,95,良,37,61,9,1,44,154
2018/8/12,75,良,32,55,8,0.9,40,129
2018/8/13,116,轻度污染,45,73,10,1,47,177
2018/8/14,119,轻度污染,38,64,9,0.9,40,180
2018/8/15,158,中度污染,55,90,9,1,54,223
2018/8/16,75,良,29,45,8,0.9,27,130
2018/8/17,80,良,26,50,9,0.9,34,136
2018/8/18,114,轻度污染,31,55,9,0.9,41,175
2018/8/19,89,良,39,70,10,1,46,146
